ID,Title,Link,Date,done,propose dataset,tool-use llm-agent,safety/security,out of scope,why out of scope,domain,domain details,policy,policy example,policy categories
244,SOCK: A Benchmark for Measuring Self-Replication in Large Language Models,https://arxiv.org/pdf/2509.25643v3,2025-09-30 01:27:46+00:00,TRUE,Yes,yes,yes,yes,"(also a replication paper) Similar to the replication paper above, test if agent are powerful enough to replicate themselves to become a threat",,,,,
245,Evaluating Implicit Regulatory Compliance in LLM Tool Invocation via Logic-Guided Synthesis,https://arxiv.org/pdf/2601.08196v1,2026-01-13 03:55:18+00:00,TRUE,Yes,yes,yes,no,,domain specific,"financial, telehealth, smart home IoT",Goal-Setting,"law doc essentially, check sec 4.1 for details",law
246,Den-TP: A Density-Balanced Data Curation and Evaluation Framework for Trajectory Prediction,https://arxiv.org/pdf/2409.17385v4,2024-09-25 22:00:11+00:00,TRUE,Yes,no,,,,,,,,
247,"CiteAudit: You Cited It, But Did You Read It? A Benchmark for Verifying Scientific References in the LLM Era",https://arxiv.org/pdf/2602.23452v1,2026-02-26 19:17:39+00:00,TRUE,Yes,yes,no,,,,,,,
248,MedRepBench: A Comprehensive Benchmark for Medical Report Interpretation,https://arxiv.org/pdf/2508.16674v1,2025-08-21 07:52:45+00:00,TRUE,Yes,no,,,,,,,,
249,Real-World En Call Center Transcripts Dataset with PII Redaction,https://arxiv.org/pdf/2507.02958v1,2025-06-30 03:41:02+00:00,TRUE,Yes,no,,,,,,,,
250,BackportBench: A Multilingual Benchmark for Automated Backporting of Patches,https://arxiv.org/pdf/2512.01396v1,2025-12-01 08:16:43+00:00,TRUE,Yes,yes,no,,,,,,,
251,Driving with Regulation: Trustworthy and Interpretable Decision-Making for Autonomous Driving with Retrieval-Augmented Reasoning,https://arxiv.org/pdf/2410.04759v3,2024-10-07 05:27:22+00:00,TRUE,Yes,no,,,,,,,,
252,SycoEval-EM: Sycophancy Evaluation of Large Language Models in Simulated Clinical Encounters for Emergency Care,https://arxiv.org/pdf/2601.16529v2,2026-01-23 08:01:39+00:00,TRUE,Yes,no,,,,,,,,
253,SOPBench: Evaluating Language Agents at Following Standard Operating Procedures and Constraints,https://arxiv.org/pdf/2503.08669v2,2025-03-11 17:53:02+00:00,TRUE,Yes,yes,yes,no,,domain specific,customer service,Verifiable-Rule,"policy is graph-based, example can be found at fig 14-20","manually define, no guidelines"
